Date,COST,PYPL,EBAY,DIS,ATVI,AMZN
03/03/22,530.3446351,101.34,53.42513088,145.57,81.01859997,147.5431456
02/03/22,525.3202651,106.61,54.0828824,147.34,80.99871811,151.6871648
01/03/22,520.2759967,106.51,53.35641057,145.7,80.40226216,150.7788525
28/02/22,516.6146736,111.93,53.59202305,148.46,81.01859997,153.1940356
25/02/22,514.8636061,110.94,53.60184024,149.53,80.95895438,153.4189938
24/02/22,503.0140523,105.02,54.42648394,149.4,80.53149428,150.9943335
23/02/22,492.746429,100.72,53.59202305,145.87,80.23326631,144.4790255
22/02/22,499.6313082,103.17,54.14178552,148.09,80.7501948,149.8366218
18/02/22,510.0680688,103.65,54.44611831,151.36,80.57125801,152.2348457
17/02/22,512.3961927,105.2,54.74063392,152.95,80.49173055,154.2809178
16/02/22,509.7994391,110.54,56.59608223,156.35,80.97883624,157.7206333
15/02/22,511.3117247,115.46,58.83440083,154.72,81.03848184,156.1344536
14/02/22,503.9890786,114.12,57.11639313,150.85,81.01859997,154.7941816
11/02/22,507.0832945,115.29,57.31273687,149.47,81.01859997,152.9251831
10/02/22,515.8485815,119.02,57.73487591,152.16,80.96889531,158.6214637
09/02/22,526.1460527,122.94,59.50196954,147.23,81.01859997,160.8022114
08/02/22,518.5050306,120.26,58.6380571,142.48,79.75610155,161.0256732
07/02/22,513.2717265,121.41,57.62688685,142.51,79.03041347,157.5560298
04/02/22,517.1320345,126.08,58.20610088,142.02,78.78189016,157.260741
03/02/22,519.121884,124.3,56.14449164,140.03,78.48366218,138.5118972
02/02/22,518.5854368,132.57,57.46981186,142.62,78.78189016,150.2506247
01/02/22,505.0649821,175.8,59.37434611,144.49,78.59301244,150.8302287
31/01/22,501.8065624,171.94,58.97184145,142.97,78.54330778,149.2141211
28/01/22,489.1901204,163.52,56.48809318,138.63,78.6725399,143.6320654
27/01/22,479.345322,158.11,55.66344948,135.42,78.43395752,139.3019942
26/01/22,480.2890716,156.98,56.65498535,133.6,78.31466633,138.5388323
25/01/22,474.1795347,158.2,57.11639313,136.51,78.65265804,139.6496569
24/01/22,485.6833456,162.17,58.56933679,137.46,79.4976373,144.1967054
21/01/22,478.4413092,163.54,58.45153055,137.38,80.86948599,142.3002729
20/01/22,479.6433482,173.28,59.60014141,147.62,81.27706422,151.3030899
19/01/22,486.9350556,173.55,61.15125693,150.11,81.66476059,155.9234618
18/01/22,484.8588065,174.46,60.48368823,152.27,81.82381551,158.5356704
14/01/22,499.6806422,178.42,62.29005061,151.94,65.0037577,161.7484325
13/01/22,513.4792548,181.01,62.12315843,155.44,63.79096393,160.8266526
12/01/22,522.3405668,187.2,63.14414586,157.8,64.42718361,164.8100586
11/01/22,518.595371,191.52,65.21557229,157.89,65.46104059,164.9646862
