Date,COST,PYPL,EBAY,DIS,ATVI,AMZN,COST Pos,PYPL Pos,EBAY Pos,DIS Pos,ATVI Pos,AMZN Pos,Total Pos,Daily return,Cumulative return
05/02/20,294.4451527,119.72,35.53418822,141.37,57.84460614,101.7484411,3506.5046876867214,5741.966426858512,2376.4820805443146,2425.1357814662633,2679.3804556931896,5337.263273313489,22066.73270556249,-0.004026660982366148,1.2066732705562493
06/02/20,296.6467009,119.89,36.37169434,142.7,59.23051769,102.2651965,3532.7226064151487,5750.119904076739,2432.493442734544,2447.951305193717,2743.576317125836,5364.369925640435,22271.23350118642,0.009267379922193175,1.2271233501186423
07/02/20,299.5309385,118.88,34.64882461,141.02,60.478821,103.7142066,3567.0705743543826,5701.67865707434,2317.270069258046,2419.1316962748288,2801.3981213489656,5440.378445336471,22246.927563647034,-0.0010913601861384237,1.2246927563647039
10/02/20,299.6837458,120.06,34.47653764,142.59,60.5771126,106.4391437,3568.8903343635025,5758.273381294964,2305.7477321110327,2446.064306990695,2805.9510193557635,5583.316327712728,22468.243101828684,0.009948139469977635,1.2468243101828689
11/02/20,296.7135541,118.84,34.87854058,141.01,60.14462956,107.2816146,3533.51875149357,5699.7601918465225,2332.633186122852,2418.9601509836443,2785.9182681258526,5627.508542795278,22398.29909136772,-0.0031130164536661287,1.2398299091367724
12/02/20,300.9539563,118.56,35.55811697,141.85,61.72712431,107.7405094,3584.017087280835,5686.330935251798,2378.082405426728,2433.369955443089,2859.219925572095,5651.580089601065,22592.60039857561,0.008674824209431664,1.2592600398575615
13/02/20,303.8954967,120.51,35.59640296,140.9,61.52071195,107.2352263,3619.047465967792,5779.856115107913,2380.642924569802,2417.073152780622,2849.6588397578194,5625.07522227238,22671.353720456325,0.0034858015673875364,1.267135372045633
14/02/20,304.0005517,122.99,36.50569532,139.54,62.43482382,106.4870284,3620.298550750771,5898.800959232613,2441.4552607384835,2393.742993179617,2892.0007907578365,5585.828142615253,22832.126697274576,0.007091459063301775,1.2832126697274582
18/02/20,307.5724221,122.27,36.24726486,139.14,62.65106534,107.5245296,3662.835438135602,5864.268585131894,2424.17175468357,2386.881181532262,2902.0171663727915,5640.250765614817,22880.42489147094,0.0021153611679163298,1.2880424891470943
19/02/20,308.4988163,123.91,35.92183391,141.3,63.27030241,108.2502816,3673.86773252102,5942.925659472422,2402.4073396266854,2423.934964427977,2930.700423352415,5678.320434823083,23052.156554223602,0.007505615108427399,1.3052156554223608
20/02/20,309.5111646,122.43,36.07497789,140.37,62.9066235,107.3963383,3685.923641837138,5871.942446043166,2412.6494175365565,2407.981252347877,2913.854701190466,5633.526429496725,22925.877888451927,-0.0054779545451481,1.2925877888451933
21/02/20,307.4769175,119.49,36.56312431,138.97,62.29721558,104.5467016,3661.69808768332,5730.935251798561,2445.296039787488,2383.9649115821367,2885.6267335483194,5484.047369800387,22591.568394200214,-0.014582189431450732,1.2591568394200219
24/02/20,299.521388,116.44,35.66340345,133.01,61.24549547,100.2231148,3566.9568388328003,5584.652278177457,2385.1238335717717,2281.723918036554,2836.9107253387856,5257.251550747558,21912.619144704928,-0.030053214440374565,1.191261914470493
